id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
517333,UY-0024,small_airport,"OTA Agricultural Airport",-33.217597,-54.330647,184,SA,Uruguay,UY,"Treinta y Tres Department",UY-TT,TT,"Treinta y Tres",0,,,1109,,,,50,2023-12-18T23:52:21+00:00
32492,SUTR,small_airport,"Treinta y Tres Airport",-33.195714,-54.347246,337,SA,Uruguay,UY,"Treinta y Tres Department",UY-TT,TT,"Treinta y Tres",0,SUTR,TYT,,,https://en.wikipedia.org/wiki/Treinta_y_Tres_Airport,,50,2017-10-28T16:13:47+00:00
326549,UY-0014,small_airport,"Juan B. Desalvo Airport",-33.485556,-56.890833,423,SA,Uruguay,UY,"Flores Department",UY-FS,FS,Trinidad,0,SUTD,,,,,"Aeroclub de Flores",50,2018-03-03T11:30:43+00:00
326544,SUVE,small_airport,"SAMAN Vergara Airport",-32.960353,-53.930913,102,SA,Uruguay,UY,"Treinta y Tres Department",UY-TT,TT,Vergara,0,SUVE,,,,,"SAMAN Vergara Rice Plant",50,2018-03-03T10:35:05+00:00
32568,SUVO,small_airport,"Vichadero Airport",-31.739166,-54.587776,488,SA,Uruguay,UY,"Rivera Department",UY-RV,RV,Vichadero,0,SUVO,VCH,,,https://en.wikipedia.org/wiki/Vichadero_Airport,,50,2024-04-15T13:16:18+00:00
326541,SUYN,small_airport,"Young Airport",-32.6872,-57.6581,230,SA,Uruguay,UY,"Río Negro Department",UY-RN,RN,Young,0,SUYN,,,,,,50,2018-03-03T04:12:50+00:00
325604,UY-0011,small_airport,"La Media Luna Airport",-30.4053,-57.2756,255,SA,Uruguay,UY,"Artigas Department",UY-AR,AR,Yucutujá,0,,,,,,,50,2017-11-25T18:41:32+00:00
325903,UY-0012,heliport,"Carmelo Park Hyatt Heliport",-33.95582,-58.335986,,SA,Uruguay,UY,"Colonia Department",UY-CO,CO,Carmelo,0,,,,,,,0,2017-12-18T18:48:36+00:00
533490,UY-0028,heliport,Helipad,-34.825459,-54.658197,15,SA,Uruguay,UY,"Maldonado Department",UY-MA,MA,"Jose Ignacio",0,,,,,,,0,2024-06-15T18:11:19+00:00
325619,SUEL,heliport,"Liberty Building Helipad",-34.868763,-56.166733,275,SA,Uruguay,UY,"Montevideo Department",UY-MO,MO,Montevideo,0,SUEL,,,,,,0,2017-11-26T13:20:06+00:00
324370,UY-0003,closed,"Carlos M Fraschini Airport",-32.246237,-58.093017,66,SA,Uruguay,UY,"Paysandu Department",UY-PA,PA,Paysandu,0,,,,,,,0,2020-10-16T16:33:42+00:00
517338,UY-0025,heliport,"Atchugarry Foundation Heliport",-34.865038,-54.825127,109,SA,Uruguay,UY,"Maldonado Department",UY-MA,MA,"Pueblo Garzon",0,,,1002,,,,0,2023-12-19T00:33:32+00:00
